Date,FiscalYear,FiscalQuarter,FiscalDataYearandQuarter,Period,QR
3/31/2001,2001,1,2001Q1,1,700.356
6/30/2001,2001,2,2001Q2,2,667.625
9/30/2001,2001,3,2001Q3,3,639.281
12/31/2001,2001,4,2001Q4,4,"1,115.17"
3/31/2002,2002,1,2002Q1,5,847.422
6/30/2002,2002,2,2002Q2,6,805.605
9/30/2002,2002,3,2002Q3,7,851.299
12/31/2002,2002,4,2002Q4,8,"1,428.61"
3/31/2003,2003,1,2003Q1,9,"1,083.56"
6/30/2003,2003,2,2003Q2,10,"1,099.91"
9/30/2003,2003,3,2003Q3,11,"1,134.46"
12/31/2003,2003,4,2003Q4,12,"1,945.77"
3/31/2004,2004,1,2004Q1,13,"1,530.35"
6/30/2004,2004,2,2004Q2,14,"1,387.34"
9/30/2004,2004,3,2004Q3,15,"1,462.48"
12/31/2004,2004,4,2004Q4,16,"2,540.96"
3/31/2005,2005,1,2005Q1,17,"1,902.00"
6/30/2005,2005,2,2005Q2,18,"1,753.00"
9/30/2005,2005,3,2005Q3,19,"1,858.00"
12/31/2005,2005,4,2005Q4,20,"2,977.00"
3/31/2006,2006,1,2006Q1,21,"2,279.00"
6/30/2006,2006,2,2006Q2,22,"2,139.00"
9/30/2006,2006,3,2006Q3,23,"2,307.00"
12/31/2006,2006,4,2006Q4,24,"3,986.00"
3/31/2007,2007,1,2007Q1,25,"3,015.00"
6/30/2007,2007,2,2007Q2,26,"2,886.00"
9/30/2007,2007,3,2007Q3,27,"3,262.00"
12/31/2007,2007,4,2007Q4,28,"5,672.00"
3/31/2008,2008,1,2008Q1,29,"4,135.00"
6/30/2008,2008,2,2008Q2,30,"4,063.00"
9/30/2008,2008,3,2008Q3,31,"4,265.00"
12/31/2008,2008,4,2008Q4,32,"6,703.00"
3/31/2009,2009,1,2009Q1,33,"4,889.00"
6/30/2009,2009,2,2009Q2,34,"4,652.00"
9/30/2009,2009,3,2009Q3,35,"5,448.00"
12/31/2009,2009,4,2009Q4,36,"9,520.00"
3/31/2010,2010,1,2010Q1,37,"7,131.00"
6/30/2010,2010,2,2010Q2,38,"6,566.00"
9/30/2010,2010,3,2010Q3,39,"7,560.00"
12/31/2010,2010,4,2010Q4,40,"12,947.00"
3/31/2011,2011,1,2011Q1,41,"9,857.00"
6/30/2011,2011,2,2011Q2,42,"9,913.00"
9/30/2011,2011,3,2011Q3,43,"10,876.00"
12/31/2011,2011,4,2011Q4,44,"17,431.00"
3/31/2012,2012,1,2012Q1,45,"13,185.00"
6/30/2012,2012,2,2012Q2,46,"12,834.00"
9/30/2012,2012,3,2012Q3,47,"13,806.00"
12/31/2012,2012,4,2012Q4,48,"21,268.00"
3/31/2013,2013,1,2013Q1,49,"16,070.00"
6/30/2013,2013,2,2013Q2,50,"15,704.00"
9/30/2013,2013,3,2013Q3,51,"17,091.00"
12/31/2013,2013,4,2013Q4,52,"25,587.00"
3/31/2014,2014,1,2014Q1,53,"19,741.00"
6/30/2014,2014,2,2014Q2,54,"19,340.00"
9/30/2014,2014,3,2014Q3,55,"20,578.00"
12/31/2014,2014,4,2014Q4,56,"29,329.00"
3/31/2015,2015,1,2015Q1,57,"22,717.00"
6/30/2015,2015,2,2015Q2,58,"23,184.00"
9/30/2015,2015,3,2015Q3,59,"25,358.00"
12/31/2015,2015,4,2015Q4,60,"35,747.00"
3/31/2016,2016,1,2016Q1,61,"29,128.00"
6/30/2016,2016,2,2016Q2,62,"30,404.00"
9/30/2016,2016,3,2016Q3,63,"32,714.00"
12/31/2016,2016,4,2016Q4,64,"43,741.00"
3/31/2017,2017,1,2017Q1,65,"35,714.00"
6/30/2017,2017,2,2017Q2,66,"37,955.00"
9/30/2017,2017,3,2017Q3,67,"43,744.00"
12/31/2017,2017,4,2017Q4,68,"60,453.00"
3/31/2018,2018,1,2018Q1,69,"51,042.00"
6/30/2018,2018,2,2018Q2,70,"52,886.00"
9/30/2018,2018,3,2018Q3,71,"56,576.00"
12/31/2018,2018,4,2018Q4,72,"72,383.00"
3/31/2019,2019,1,2019Q1,73,"59,700.00"
6/30/2019,2019,2,2019Q2,74,"63,404.00"
9/30/2019,2019,3,2019Q3,75,"69,982.00"
12/31/2019,2019,4,2019Q4,76,"87,436.00"
3/31/2020,2020,1,2020Q1,77,"75,452.00"
6/30/2020,2020,2,2020Q2,78,"88,912.00"
9/30/2020,2020,3,2020Q3,79,"96,145.00"
12/31/2020,2020,4,2020Q4,80,"125,555.00"
3/31/2021,2021,1,2021Q1,81,"108,518.00"
6/30/2021,2021,2,2021Q2,82,"113,080.00"
9/30/2021,2021,3,2021Q3,83,"110,812.00"
12/31/2021,2021,4,2021Q4,84,"137,412.00"
3/31/2022,2022,1,2022Q1,85,"116,444.00"
6/30/2022,2022,2,2022Q2,86,"121,234.00"
9/30/2022,2022,3,2022Q3,87,"127,101.00"
12/31/2022,2022,4,2022Q4,88,"149,204.00"
3/31/2023,2023,1,2023Q1,89,"127,358.00"
6/30/2023,2023,2,2023Q2,90,"134,383.00"
